604800000,0,-241920000,0,0,-60480000,104754432.841766,-60480000,-104754432.841766,0,0
0,362880000,0,0,0,104754432.841766,-181440000,-104754432.841766,-181440000,0,0
-241920000,0,544320000,104754432.841766,-241920000,0,0,0,0,-60480000,-104754432.841766
0,0,104754432.841766,181440000,0,0,0,0,0,-104754432.841766,-181440000
0,0,-241920000,0,302400000,0,0,0,0,-60480000,104754432.841766
-60480000,104754432.841766,0,0,0,362880000,0,-241920000,0,0,0
104754432.841766,-181440000,0,0,0,0,362880000,0,0,0,0
-60480000,-104754432.841766,0,0,0,-241920000,0,544320000,104754432.841766,-241920000,0
-104754432.841766,-181440000,0,0,0,0,0,104754432.841766,181440000,0,0
0,0,-60480000,-104754432.841766,-60480000,0,0,-241920000,0,362880000,0
0,0,-104754432.841766,-181440000,104754432.841766,0,0,0,0,0,362880000
